2025-09-22 00:00:04 | INFO | [KRWBTC-20250920-3D849A] 가격=161,600,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:09 | INFO | [KRWBTC-20250920-3D849A] 가격=161,599,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:14 | INFO | [KRWBTC-20250920-3D849A] 가격=161,599,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:19 | INFO | [KRWBTC-20250920-3D849A] 가격=161,599,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:24 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:29 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:34 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:39 | INFO | [KRWBTC-20250920-3D849A] 가격=161,598,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:44 | INFO | [KRWBTC-20250920-3D849A] 가격=161,598,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:49 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:54 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:00:59 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:04 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:09 | INFO | [KRWBTC-20250920-3D849A] 가격=161,597,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:14 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:19 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:24 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:29 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:34 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:39 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,596,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:01:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,589,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,595,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,594,000 | 평단=162,308,000 | 등락률=-0.44%
2025-09-22 00:02:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,583,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:02:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,583,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,582,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,583,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,582,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,581,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,581,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,577,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,577,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,577,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,577,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:03:55 | INFO | [KRWBTC-20250920-3D849A] 가격=161,575,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:00 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:05 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:10 | INFO | [KRWBTC-20250920-3D849A] 가격=161,574,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:15 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:20 | INFO | [KRWBTC-20250920-3D849A] 가격=161,573,000 | 평단=162,308,000 | 등락률=-0.45%
2025-09-22 00:04:25 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:30 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:35 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:40 | INFO | [KRWBTC-20250920-3D849A] 가격=161,562,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:45 | INFO | [KRWBTC-20250920-3D849A] 가격=161,559,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:04:50 | INFO | [KRWBTC-20250920-3D849A] 가격=161,560,000 | 평단=162,308,000 | 등락률=-0.46%
